table_name,field_name,field_value,language,translation
stops,stop_name,大手町,ja,大手町
stops,stop_name,大手町,en,Otemachi
stops,stop_name,新御茶ノ水,ja,新御茶ノ水
stops,stop_name,新御茶ノ水,en,Shin-ochanomizu
stops,stop_name,湯島,ja,湯島
stops,stop_name,湯島,en,Yushima
stops,stop_name,根津,ja,根津
stops,stop_name,根津,en,Nezu
stops,stop_name,千駄木,ja,千駄木
stops,stop_name,千駄木,en,Sendagi
stops,stop_name,西日暮里,ja,西日暮里
stops,stop_name,西日暮里,en,Nishi-nippori
stops,stop_name,町屋,ja,町屋
stops,stop_name,町屋,en,Machiya
stops,stop_name,北千住,ja,北千住
stops,stop_name,北千住,en,Kita-senju
stops,stop_name,綾瀬,ja,綾瀬
stops,stop_name,綾瀬,en,Ayase
stops,stop_name,北綾瀬,ja,北綾瀬
stops,stop_name,北綾瀬,en,Kita-ayase
stops,stop_name,和光市,ja,和光市
stops,stop_name,和光市,en,Wakoshi
stops,stop_name,地下鉄成増,ja,地下鉄成増
stops,stop_name,地下鉄成増,en,Chikatetsu-narimasu
stops,stop_name,地下鉄赤塚,ja,地下鉄赤塚
stops,stop_name,地下鉄赤塚,en,Chikatetsu-akatsuka
stops,stop_name,平和台,ja,平和台
stops,stop_name,平和台,en,Heiwadai
stops,stop_name,氷川台,ja,氷川台
stops,stop_name,氷川台,en,Hikawadai
stops,stop_name,小竹向原,ja,小竹向原
stops,stop_name,小竹向原,en,Kotake-mukaihara
stops,stop_name,千川,ja,千川
stops,stop_name,千川,en,Senkawa
stops,stop_name,要町,ja,要町
stops,stop_name,要町,en,Kanamecho
stops,stop_name,池袋,ja,池袋
stops,stop_name,池袋,en,Ikebukuro
stops,stop_name,雑司が谷,ja,雑司が谷
stops,stop_name,雑司が谷,en,Zoshigaya
stops,stop_name,西早稲田,ja,西早稲田
stops,stop_name,西早稲田,en,Nishi-waseda
stops,stop_name,東新宿,ja,東新宿
stops,stop_name,東新宿,en,Higashi-shinjuku
stops,stop_name,新宿三丁目,ja,新宿三丁目
stops,stop_name,新宿三丁目,en,Shinjuku-sanchome
stops,stop_name,北参道,ja,北参道
stops,stop_name,北参道,en,Kita-sando
stops,stop_name,渋谷,ja,渋谷
stops,stop_name,渋谷,en,Shibuya
stops,stop_name,外苑前,ja,外苑前
stops,stop_name,外苑前,en,Gaiemmae
stops,stop_name,青山一丁目,ja,青山一丁目
stops,stop_name,青山一丁目,en,Aoyama-itchome
stops,stop_name,赤坂見附,ja,赤坂見附
stops,stop_name,赤坂見附,en,Akasaka-mitsuke
stops,stop_name,溜池山王,ja,溜池山王
stops,stop_name,溜池山王,en,Tameike-sanno
stops,stop_name,虎ノ門,ja,虎ノ門
stops,stop_name,虎ノ門,en,Toranomon
stops,stop_name,新橋,ja,新橋
stops,stop_name,新橋,en,Shimbashi
stops,stop_name,銀座,ja,銀座
stops,stop_name,銀座,en,Ginza
stops,stop_name,京橋,ja,京橋
stops,stop_name,京橋,en,Kyobashi
stops,stop_name,日本橋,ja,日本橋
stops,stop_name,日本橋,en,Nihombashi
stops,stop_name,三越前,ja,三越前
stops,stop_name,三越前,en,Mitsukoshimae
stops,stop_name,神田,ja,神田
stops,stop_name,神田,en,Kanda
stops,stop_name,末広町,ja,末広町
stops,stop_name,末広町,en,Suehirocho
stops,stop_name,上野広小路,ja,上野広小路
stops,stop_name,上野広小路,en,Ueno-hirokoji
stops,stop_name,上野,ja,上野
stops,stop_name,上野,en,Ueno
stops,stop_name,稲荷町,ja,稲荷町
stops,stop_name,稲荷町,en,Inaricho
stops,stop_name,田原町,ja,田原町
stops,stop_name,田原町,en,Tawaramachi
stops,stop_name,浅草,ja,浅草
stops,stop_name,浅草,en,Asakusa
stops,stop_name,永田町,ja,永田町
stops,stop_name,永田町,en,Nagatacho
stops,stop_name,半蔵門,ja,半蔵門
stops,stop_name,半蔵門,en,Hanzomon
stops,stop_name,九段下,ja,九段下
stops,stop_name,九段下,en,Kudanshita
stops,stop_name,神保町,ja,神保町
stops,stop_name,神保町,en,Jimbocho
stops,stop_name,水天宮前,ja,水天宮前
stops,stop_name,水天宮前,en,Suitengumae
stops,stop_name,清澄白河,ja,清澄白河
stops,stop_name,清澄白河,en,Kiyosumi-shirakawa
stops,stop_name,住吉,ja,住吉
stops,stop_name,住吉,en,Sumiyoshi
stops,stop_name,錦糸町,ja,錦糸町
stops,stop_name,錦糸町,en,Kinshicho
stops,stop_name,押上〈スカイツリー前〉,ja,押上〈スカイツリー前〉
stops,stop_name,押上〈スカイツリー前〉,en,Oshiage<SKYTREE>
stops,stop_name,中目黒,ja,中目黒
stops,stop_name,中目黒,en,Naka-meguro
stops,stop_name,恵比寿,ja,恵比寿
stops,stop_name,恵比寿,en,Ebisu
stops,stop_name,広尾,ja,広尾
stops,stop_name,広尾,en,Hiro-o
stops,stop_name,六本木,ja,六本木
stops,stop_name,六本木,en,Roppongi
stops,stop_name,神谷町,ja,神谷町
stops,stop_name,神谷町,en,Kamiyacho
stops,stop_name,虎ノ門ヒルズ,ja,虎ノ門ヒルズ
stops,stop_name,虎ノ門ヒルズ,en,Toranomon-hills
stops,stop_name,東銀座,ja,東銀座
stops,stop_name,東銀座,en,Higashi-ginza
stops,stop_name,築地,ja,築地
stops,stop_name,築地,en,Tsukiji
stops,stop_name,八丁堀,ja,八丁堀
stops,stop_name,八丁堀,en,Hatchobori
stops,stop_name,茅場町,ja,茅場町
stops,stop_name,茅場町,en,Kayabacho
stops,stop_name,人形町,ja,人形町
stops,stop_name,人形町,en,Ningyocho
stops,stop_name,小伝馬町,ja,小伝馬町
stops,stop_name,小伝馬町,en,Kodemmacho
stops,stop_name,秋葉原,ja,秋葉原
stops,stop_name,秋葉原,en,Akihabara
stops,stop_name,仲御徒町,ja,仲御徒町
stops,stop_name,仲御徒町,en,Naka-okachimachi
stops,stop_name,入谷,ja,入谷
stops,stop_name,入谷,en,Iriya
stops,stop_name,三ノ輪,ja,三ノ輪
stops,stop_name,三ノ輪,en,Minowa
stops,stop_name,南千住,ja,南千住
stops,stop_name,南千住,en,Minami-senju
stops,stop_name,荻窪,ja,荻窪
stops,stop_name,荻窪,en,Ogikubo
stops,stop_name,南阿佐ケ谷,ja,南阿佐ケ谷
stops,stop_name,南阿佐ケ谷,en,Minami-asagaya
stops,stop_name,新高円寺,ja,新高円寺
stops,stop_name,新高円寺,en,Shin-koenji
stops,stop_name,東高円寺,ja,東高円寺
stops,stop_name,東高円寺,en,Higashi-koenji
stops,stop_name,新中野,ja,新中野
stops,stop_name,新中野,en,Shin-nakano
stops,stop_name,中野坂上,ja,中野坂上
stops,stop_name,中野坂上,en,Nakano-sakaue
stops,stop_name,西新宿,ja,西新宿
stops,stop_name,西新宿,en,Nishi-shinjuku
stops,stop_name,新宿,ja,新宿
stops,stop_name,新宿,en,Shinjuku
stops,stop_name,新宿御苑前,ja,新宿御苑前
stops,stop_name,新宿御苑前,en,Shinjuku-gyoemmae
stops,stop_name,四谷三丁目,ja,四谷三丁目
stops,stop_name,四谷三丁目,en,Yotsuya-sanchome
stops,stop_name,四ツ谷,ja,四ツ谷
stops,stop_name,四ツ谷,en,Yotsuya
stops,stop_name,東京,ja,東京
stops,stop_name,東京,en,Tokyo
stops,stop_name,淡路町,ja,淡路町
stops,stop_name,淡路町,en,Awajicho
stops,stop_name,御茶ノ水,ja,御茶ノ水
stops,stop_name,御茶ノ水,en,Ochanomizu
stops,stop_name,本郷三丁目,ja,本郷三丁目
stops,stop_name,本郷三丁目,en,Hongo-sanchome
stops,stop_name,後楽園,ja,後楽園
stops,stop_name,後楽園,en,Korakuen
stops,stop_name,茗荷谷,ja,茗荷谷
stops,stop_name,茗荷谷,en,Myogadani
stops,stop_name,新大塚,ja,新大塚
stops,stop_name,新大塚,en,Shin-otsuka
stops,stop_name,方南町,ja,方南町
stops,stop_name,方南町,en,Honancho
stops,stop_name,中野富士見町,ja,中野富士見町
stops,stop_name,中野富士見町,en,Nakano-fujimicho
stops,stop_name,中野新橋,ja,中野新橋
stops,stop_name,中野新橋,en,Nakano-Shimbashi
stops,stop_name,目黒,ja,目黒
stops,stop_name,目黒,en,Meguro
stops,stop_name,白金台,ja,白金台
stops,stop_name,白金台,en,Shirokanedai
stops,stop_name,白金高輪,ja,白金高輪
stops,stop_name,白金高輪,en,Shirokane-takanawa
stops,stop_name,麻布十番,ja,麻布十番
stops,stop_name,麻布十番,en,Azabu-juban
stops,stop_name,六本木一丁目,ja,六本木一丁目
stops,stop_name,六本木一丁目,en,Roppongi-itchome
stops,stop_name,市ケ谷,ja,市ケ谷
stops,stop_name,市ケ谷,en,Ichigaya
stops,stop_name,飯田橋,ja,飯田橋
stops,stop_name,飯田橋,en,Iidabashi
stops,stop_name,東大前,ja,東大前
stops,stop_name,東大前,en,Todaimae
stops,stop_name,本駒込,ja,本駒込
stops,stop_name,本駒込,en,Hon-komagome
stops,stop_name,駒込,ja,駒込
stops,stop_name,駒込,en,Komagome
stops,stop_name,西ケ原,ja,西ケ原
stops,stop_name,西ケ原,en,Nishigahara
stops,stop_name,王子,ja,王子
stops,stop_name,王子,en,Oji
stops,stop_name,王子神谷,ja,王子神谷
stops,stop_name,王子神谷,en,Oji-kamiya
stops,stop_name,志茂,ja,志茂
stops,stop_name,志茂,en,Shimo
stops,stop_name,赤羽岩淵,ja,赤羽岩淵
stops,stop_name,赤羽岩淵,en,Akabane-iwabuchi
stops,stop_name,中野,ja,中野
stops,stop_name,中野,en,Nakano
stops,stop_name,落合,ja,落合
stops,stop_name,落合,en,Ochiai
stops,stop_name,高田馬場,ja,高田馬場
stops,stop_name,高田馬場,en,Takadanobaba
stops,stop_name,早稲田,ja,早稲田
stops,stop_name,早稲田,en,Waseda
stops,stop_name,神楽坂,ja,神楽坂
stops,stop_name,神楽坂,en,Kagurazaka
stops,stop_name,竹橋,ja,竹橋
stops,stop_name,竹橋,en,Takebashi
stops,stop_name,門前仲町,ja,門前仲町
stops,stop_name,門前仲町,en,Monzen-nakacho
stops,stop_name,木場,ja,木場
stops,stop_name,木場,en,Kiba
stops,stop_name,東陽町,ja,東陽町
stops,stop_name,東陽町,en,Toyocho
stops,stop_name,南砂町,ja,南砂町
stops,stop_name,南砂町,en,Minami-sunamachi
stops,stop_name,西葛西,ja,西葛西
stops,stop_name,西葛西,en,Nishi-kasai
stops,stop_name,葛西,ja,葛西
stops,stop_name,葛西,en,Kasai
stops,stop_name,浦安,ja,浦安
stops,stop_name,浦安,en,Urayasu
stops,stop_name,南行徳,ja,南行徳
stops,stop_name,南行徳,en,Minami-gyotoku
stops,stop_name,行徳,ja,行徳
stops,stop_name,行徳,en,Gyotoku
stops,stop_name,妙典,ja,妙典
stops,stop_name,妙典,en,Myoden
stops,stop_name,原木中山,ja,原木中山
stops,stop_name,原木中山,en,Baraki-nakayama
stops,stop_name,西船橋,ja,西船橋
stops,stop_name,西船橋,en,Nishi-funabashi
stops,stop_name,東池袋,ja,東池袋
stops,stop_name,東池袋,en,Higashi-ikebukuro
stops,stop_name,護国寺,ja,護国寺
stops,stop_name,護国寺,en,Gokokuji
stops,stop_name,江戸川橋,ja,江戸川橋
stops,stop_name,江戸川橋,en,Edogawabashi
stops,stop_name,麴町,ja,麴町
stops,stop_name,麴町,en,Kojimachi
stops,stop_name,桜田門,ja,桜田門
stops,stop_name,桜田門,en,Sakuradamon
stops,stop_name,有楽町,ja,有楽町
stops,stop_name,有楽町,en,Yurakucho
stops,stop_name,銀座一丁目,ja,銀座一丁目
stops,stop_name,銀座一丁目,en,Ginza-itchome
stops,stop_name,新富町,ja,新富町
stops,stop_name,新富町,en,Shintomicho
stops,stop_name,月島,ja,月島
stops,stop_name,月島,en,Tsukishima
stops,stop_name,豊洲,ja,豊洲
stops,stop_name,豊洲,en,Toyosu
stops,stop_name,辰巳,ja,辰巳
stops,stop_name,辰巳,en,Tatsumi
stops,stop_name,新木場,ja,新木場
stops,stop_name,新木場,en,Shin-kiba
trips,trip_headsign,代々木上原,ja,代々木上原
trips,trip_headsign,代々木上原,en,Yoyogi-uehara
trips,trip_headsign,向ヶ丘遊園,ja,向ヶ丘遊園
trips,trip_headsign,向ヶ丘遊園,en,Mukogaoka-yuen
trips,trip_headsign,相模大野,ja,相模大野
trips,trip_headsign,相模大野,en,Sagami-ono
trips,trip_headsign,成城学園前,ja,成城学園前
trips,trip_headsign,成城学園前,en,Seijogakuen-mae
trips,trip_headsign,唐木田,ja,唐木田
trips,trip_headsign,唐木田,en,Karakida
trips,trip_headsign,伊勢原,ja,伊勢原
trips,trip_headsign,伊勢原,en,Isehara
trips,trip_headsign,本厚木,ja,本厚木
trips,trip_headsign,本厚木,en,Hon-atsugi
trips,trip_headsign,明治神宮前,ja,明治神宮前
trips,trip_headsign,明治神宮前,en,Meiji-jingumae
trips,trip_headsign,我孫子,ja,我孫子
trips,trip_headsign,我孫子,en,Abiko
trips,trip_headsign,綾瀬,ja,綾瀬
trips,trip_headsign,綾瀬,en,Ayase
trips,trip_headsign,北綾瀬,ja,北綾瀬
trips,trip_headsign,北綾瀬,en,Kita-ayase
trips,trip_headsign,松戸,ja,松戸
trips,trip_headsign,松戸,en,Matsudo
trips,trip_headsign,取手,ja,取手
trips,trip_headsign,取手,en,Toride
trips,trip_headsign,柏,ja,柏
trips,trip_headsign,柏,en,Kashiwa
trips,trip_headsign,北千住,ja,北千住
trips,trip_headsign,北千住,en,Kita-senju
trips,trip_headsign,霞ケ関,ja,霞ケ関
trips,trip_headsign,霞ケ関,en,Kasumigaseki
trips,trip_headsign,箱根湯本,ja,箱根湯本
trips,trip_headsign,箱根湯本,en,Hakone-yumoto
trips,trip_headsign,元町・中華街,ja,元町・中華街
trips,trip_headsign,元町・中華街,en,Motomachi-chukagai
trips,trip_headsign,湘南台,ja,湘南台
trips,trip_headsign,湘南台,en,Shonandai
trips,trip_headsign,西谷,ja,西谷
trips,trip_headsign,西谷,en,Nishiya
trips,trip_headsign,菊名,ja,菊名
trips,trip_headsign,菊名,en,Kikuna
trips,trip_headsign,海老名,ja,海老名
trips,trip_headsign,海老名,en,Ebina
trips,trip_headsign,武蔵小杉,ja,武蔵小杉
trips,trip_headsign,武蔵小杉,en,Musashi-kosugi
trips,trip_headsign,横浜,ja,横浜
trips,trip_headsign,横浜,en,Yokohama
trips,trip_headsign,渋谷,ja,渋谷
trips,trip_headsign,渋谷,en,Shibuya
trips,trip_headsign,和光市,ja,和光市
trips,trip_headsign,和光市,en,Wakoshi
trips,trip_headsign,志木,ja,志木
trips,trip_headsign,志木,en,Shiki
trips,trip_headsign,川越市,ja,川越市
trips,trip_headsign,川越市,en,Kawagoeshi
trips,trip_headsign,森林公園,ja,森林公園
trips,trip_headsign,森林公園,en,Shinrin-koen
trips,trip_headsign,元住吉,ja,元住吉
trips,trip_headsign,元住吉,en,Motosumiyoshi
trips,trip_headsign,小手指,ja,小手指
trips,trip_headsign,小手指,en,Kotesashi
trips,trip_headsign,石神井公園,ja,石神井公園
trips,trip_headsign,石神井公園,en,Shakujii-koen
trips,trip_headsign,清瀬,ja,清瀬
trips,trip_headsign,清瀬,en,Kiyose
trips,trip_headsign,所沢,ja,所沢
trips,trip_headsign,所沢,en,Tokorozawa
trips,trip_headsign,池袋,ja,池袋
trips,trip_headsign,池袋,en,Ikebukuro
trips,trip_headsign,保谷,ja,保谷
trips,trip_headsign,保谷,en,Hoya
trips,trip_headsign,飯能,ja,飯能
trips,trip_headsign,飯能,en,Hanno
trips,trip_headsign,小川町,ja,小川町
trips,trip_headsign,小川町,en,Ogawamachi
trips,trip_headsign,西武秩父,ja,西武秩父
trips,trip_headsign,西武秩父,en,Seibu-chichibu
trips,trip_headsign,大和,ja,大和
trips,trip_headsign,大和,en,Yamato
trips,trip_headsign,新宿三丁目,ja,新宿三丁目
trips,trip_headsign,新宿三丁目,en,Shinjuku-sanchome
trips,trip_headsign,浅草,ja,浅草
trips,trip_headsign,浅草,en,Asakusa
trips,trip_headsign,上野,ja,上野
trips,trip_headsign,上野,en,Ueno
trips,trip_headsign,南栗橋,ja,南栗橋
trips,trip_headsign,南栗橋,en,Minami-kurihashi
trips,trip_headsign,東武動物公園,ja,東武動物公園
trips,trip_headsign,東武動物公園,en,Tobu-dobutsu-koen
trips,trip_headsign,押上,ja,押上
trips,trip_headsign,押上,en,Oshiage
trips,trip_headsign,久喜,ja,久喜
trips,trip_headsign,久喜,en,Kuki
trips,trip_headsign,北越谷,ja,北越谷
trips,trip_headsign,北越谷,en,Kita-koshigaya
trips,trip_headsign,清澄白河,ja,清澄白河
trips,trip_headsign,清澄白河,en,Kiyosumi-shirakawa
trips,trip_headsign,永田町,ja,永田町
trips,trip_headsign,永田町,en,Nagatacho
trips,trip_headsign,青山一丁目,ja,青山一丁目
trips,trip_headsign,青山一丁目,en,Aoyama-itchome
trips,trip_headsign,半蔵門,ja,半蔵門
trips,trip_headsign,半蔵門,en,Hanzomon
trips,trip_headsign,中央林間,ja,中央林間
trips,trip_headsign,中央林間,en,Chuo-rinkan
trips,trip_headsign,長津田,ja,長津田
trips,trip_headsign,長津田,en,Nagatsuta
trips,trip_headsign,鷺沼,ja,鷺沼
trips,trip_headsign,鷺沼,en,Saginuma
trips,trip_headsign,水天宮前,ja,水天宮前
trips,trip_headsign,水天宮前,en,Suitengumae
trips,trip_headsign,中目黒,ja,中目黒
trips,trip_headsign,中目黒,en,Naka-meguro
trips,trip_headsign,恵比寿,ja,恵比寿
trips,trip_headsign,恵比寿,en,Ebisu
trips,trip_headsign,六本木,ja,六本木
trips,trip_headsign,六本木,en,Roppongi
trips,trip_headsign,竹ノ塚,ja,竹ノ塚
trips,trip_headsign,竹ノ塚,en,Takenotsuka
trips,trip_headsign,北春日部,ja,北春日部
trips,trip_headsign,北春日部,en,Kita-kasukabe
trips,trip_headsign,草加,ja,草加
trips,trip_headsign,草加,en,Soka
trips,trip_headsign,南千住,ja,南千住
trips,trip_headsign,南千住,en,Minami-senju
trips,trip_headsign,広尾,ja,広尾
trips,trip_headsign,広尾,en,Hiro-o
trips,trip_headsign,荻窪,ja,荻窪
trips,trip_headsign,荻窪,en,Ogikubo
trips,trip_headsign,方南町,ja,方南町
trips,trip_headsign,方南町,en,Honancho
trips,trip_headsign,中野坂上,ja,中野坂上
trips,trip_headsign,中野坂上,en,Nakano-sakaue
trips,trip_headsign,新宿,ja,新宿
trips,trip_headsign,新宿,en,Shinjuku
trips,trip_headsign,中野富士見町,ja,中野富士見町
trips,trip_headsign,中野富士見町,en,Nakano-fujimicho
trips,trip_headsign,茗荷谷,ja,茗荷谷
trips,trip_headsign,茗荷谷,en,Myogadani
trips,trip_headsign,浦和美園,ja,浦和美園
trips,trip_headsign,浦和美園,en,Urawa-misono
trips,trip_headsign,鳩ヶ谷,ja,鳩ヶ谷
trips,trip_headsign,鳩ヶ谷,en,Hatogaya
trips,trip_headsign,赤羽岩淵,ja,赤羽岩淵
trips,trip_headsign,赤羽岩淵,en,Akabane-iwabuchi
trips,trip_headsign,新横浜,ja,新横浜
trips,trip_headsign,新横浜,en,Shin-yokohama
trips,trip_headsign,日吉,ja,日吉
trips,trip_headsign,日吉,en,Hiyoshi
trips,trip_headsign,白金高輪,ja,白金高輪
trips,trip_headsign,白金高輪,en,Shirokane-takanawa
trips,trip_headsign,奥沢,ja,奥沢
trips,trip_headsign,奥沢,en,Okusawa
trips,trip_headsign,目黒,ja,目黒
trips,trip_headsign,目黒,en,Meguro
trips,trip_headsign,駒込,ja,駒込
trips,trip_headsign,駒込,en,Komagome
trips,trip_headsign,麻布十番,ja,麻布十番
trips,trip_headsign,麻布十番,en,Azabu-juban
trips,trip_headsign,市ケ谷,ja,市ケ谷
trips,trip_headsign,市ケ谷,en,Ichigaya
trips,trip_headsign,王子神谷,ja,王子神谷
trips,trip_headsign,王子神谷,en,Oji-kamiya
trips,trip_headsign,東葉勝田台,ja,東葉勝田台
trips,trip_headsign,東葉勝田台,en,Toyo-katsutadai
trips,trip_headsign,西船橋,ja,西船橋
trips,trip_headsign,西船橋,en,Nishi-funabashi
trips,trip_headsign,津田沼,ja,津田沼
trips,trip_headsign,津田沼,en,Tsudanuma
trips,trip_headsign,八千代緑が丘,ja,八千代緑が丘
trips,trip_headsign,八千代緑が丘,en,Yachiyo-midorigaoka
trips,trip_headsign,中野,ja,中野
trips,trip_headsign,中野,en,Nakano
trips,trip_headsign,三鷹,ja,三鷹
trips,trip_headsign,三鷹,en,Mitaka
trips,trip_headsign,東陽町,ja,東陽町
trips,trip_headsign,東陽町,en,Toyocho
trips,trip_headsign,妙典,ja,妙典
trips,trip_headsign,妙典,en,Myoden
trips,trip_headsign,九段下,ja,九段下
trips,trip_headsign,九段下,en,Kudanshita
trips,trip_headsign,新木場,ja,新木場
trips,trip_headsign,新木場,en,Shin-kiba
trips,trip_headsign,豊洲,ja,豊洲
trips,trip_headsign,豊洲,en,Toyosu
